1999dq,0.973,LifanWang,Matheson2008,0.01308,LifanWang2006,14.41,0.07,XWang2006,14.342,0.009,LifanWang2006,0.013281033,SA(rs)c,0.473,0.110,NED,0.110,0.05,XWang2006,0.000057,0.287,0.034,0.118,0.008,Hicken2009
1999ee,0.94404125,LifanWang,LifanWang & Matheson2008,0.01055,LifanWang2006,14.84,0.07,XWang2006,14.566,0.007,LifanWang2006,0.0064002146,SA(rs)bc,0.087,0.020,NED,0.38,0.04,XWang2009,0.000070,0.586,0.046,0.328,0.005,Hicken2009
1999ej,1.4463422,LifanWang,Matheson2008,0.01278,NEDhost,15.30,0.09,XWang2006,15.63,0,Jha2006,0.017839529,SB(s)0a pec,0.307,0.071,NED,0.03,0.04,XWang2009,0.000073,-2.093,0.401,0.042,0.045,HickenPhD2009
1999ek,1.21,2009ApJ...700..331H,Blondin2010,0.0176,Blondin2010,15.537,0.009,blondin2010,?,?,?,?,Sbc,?,0.561,Blondin2010,0.241,?,Blondin2010,?,-1.075,0.127,0.163,0.010,Blondin2010
1999gd,1.1694951,LifanWang,Matheson2008,0.01931,NEDhost,16.88,0.08,XWang2006,16.61,0,Jha2006,0.040832547,Pec,0.177,0.041,NED,0.50,0.07,XWang2009,?,-1.210,0.193,0.455,0.022,Blondin2010
1999gh,1.7213089,LifanWang,Matheson2008,0.00880,NEDhost,14.21,0.16,XWang2006,14.27,0,Jha2006,0.0081048416,E2,0.251,0.058,NED,0.07,0.04,XWang2006,0.000080,-2.329,0.152,0.120,0.034,Arsenijevic2011
1999gi,IIP,SUSPECT,LifanWang,?,?,?,?,?,?,?,?,?,?,0.072,?,NED,?,?,?,?,?,?,?,?,?
1999gp,1.029,LifanWang,Matheson2008,0.02604,NEDhost,16.01,0.08,XWang2006,16.12,0,Jha2006,0.13479325,Sb,0.241,0.056,NED,0.10,0.06,XWang2006,0.000063,1.443,0.094,0.057,0.010,Hicken2009
1999X,1.3773341,LifanWang,Matheson2008,0.02590,NEDhost,16.45,0,Jha2006,16.29,0,Jha2006,0.057556034,?,0.137,0.032,NED,0.045,0.031,Jha2007,?,-0.529,0.498,0.010,0.050,Arsenijevic2011
2000B,1.0890535,LifanWang,Matheson2008,0.02008,NEDhost,15.94,0,Jha2006,15.80,0,Jha2006,0.40739288,E,0.293,0.068,NED,0.092,0.044,Jha2007,?,?,?,?,?,?
2000cf,1.3639481,LifanWang,Matheson2008,0.03646,LifanWang2006,17.00,0.09,XWang2006,17.103,0.018,LifanWang2006,0.042689442,?,0.139,0.032,NED,0.04,0.05,XWang2009,0.000067,-0.836,0.129,0.017,0.015,Blondin2010
2000cn,1.6750001,LifanWang,Matheson2008,0.02321,LifanWang2006,16.56,0.08,XWang2006,16.399,0.010,LifanWang2006,0.026584666,Scd,0.247,0.057,NED,0.20,0.05,XWang2009,0.000040,-2.380,0.243,0.199,0.016,Blondin2010
2000cx,0.97101784,LifanWang,Lifan & 2001PASP..113.1178L,0.00689,NEDhost,13.06,0.07,XWang2006,13.259784,0.012841713,LifanWang,0.0058187601,SA(rs)0+,0.353,0.082,NED,0.00,0.04,XWang2006,0.000087,-1.001,0.042,-0.088,0.024,Arsenijevic2011
2000dk,1.4569396,LifanWang,Matheson2008,0.01645,LifanWang2006,15.33,0.07,XWang2006,15.330,0.012,LifanWang2006,0.032596296,E,0.303,0.070,NED,0.00,0.04,XWang2009,0.000097,-2.658,0.301,0.055,0.022,Blondin2010
2000E,1.0793306,LifanWang,LifanWang,0.00422,LifanWang2006,12.72,0.07,XWang2006,12.757,0.064,LifanWang2006,0.021301783,SAB(rs)bc,1.572,0.364,NED,0.13,0.05,XWang2006,0.000037,0.476,0.062,0.102,0.024,Arsenijevic2011
2000fa,1.1402568,LifanWang,Matheson2008,0.02179,NEDhost,15.70,0.10,XWang2006,15.95,0,Jha2006,0.026690204,Im,0.296,0.069,NED,0.17,0.04,XWang2009,0.000040,0.311,0.127,0.100,0.018,Blondin2010
2000fr,0.99,wavelet,LifanWang,0.54389,NEDhost,23.03,0.06,Kowalski2008,?,?,?,?,?,0.128,0.030,NED,?,?,?,?,?,?,?,?,?
2001ay,0.54301739,LifanWang,SUSPEND,0.03091,NEDhost,16.62,0.07,XWang2006,?,?,?,0.0060340396,?,0.081,?,NED,?,?,?,?,?,?,?,?,?
2001eh,0.830,2008ApJ...686..117F,LifanWang,0.037036,NED,16.575,0.018,Blondin2010,?,?,?,0.104,SB(r)b,0.271,?,NED,?,?,?,?,1.457,0.222,0.020,0.017,Blondin2010
2001el,1.1659719,LifanWang,LifanWang,0.00365,LifanWang2006,12.75,0.07,XWang2006,12.691,0.027,LifanWang2006,0.0040940429,SAcd,0.061,0.014,NED,0.20,0.06,XWang2009,0.000017,-0.245,0.039,0.097,0.024,Arsenijevic2011
2001ep,?,?,LifanWang,0.013012,NEDfromhost,?,?,?,?,?,?,?,?,0.204,?,NED,?,?,?,?,?,?,?,?,?
2001gw,?,?,LifanWang,0.363,IAUC7763,?,?,?,?,?,?,?,?,0.219,?,NED,?,?,?,?,?,?,?,?,?
2001V,0.74315006,LifanWang,LifanWang,0.01604,LifanWang2006,14.55,0.12,XWang2006,14.546,0.064,LifanWang2006,0.034466543,Sb,0.085,0.020,NED,0.02,0.06,XWang2006,0.000073,0.988,0.094,-0.010,0.020,Arsenijevic2011
2002ap,Ic,SUSPECT,LifanWang,0.0021,SUSPECT,?,?,?,?,?,?,?,?,0.307,?,NED,?,?,?,?,?,?,?,?,?
